,FERARI__T-end,Decay%__T-end,Cracks__T-end,Acceptance_Score__T-end,Firmness___T-end,Bleaching__T-end,Cluster weight__T-end,weight_loss__T-end,Shattering(%)__T-end,FER_RG__T-end,Shatter__T-end,Decay__T-end,Rachis_Score__T-end
216,0.693,1.1764014745406748,1,3.0,1.4787219999999999,1,680.89,2.315391554620038,0.0,3.536,0,1.0,0.5
217,0.6366,5.430968726163234,1,2.5,1.9193104,1,589.95,3.7914026434501604,0.0,3.232,0,4.0,0.7
218,0.7122,5.788576053650922,1,3.0,2.4857405999999997,1,691.88,3.2153198929137248,0.0,3.696,0,5.0,0.5
219,0.7673,3.899391480730223,1,3.0,2.6291930000000003,1,616.25,2.078841788146596,0.0,3.586,0,3.0,0.5
220,0.5481,1.1834581800452106,1,3.0,2.1537754,1,676.83,2.584291159546122,0.2954951760412511,2.603,2,1.0,0.6
221,0.6408,2.3315722831070165,2,3.0,2.3824388,1,687.09,2.8481210529606567,0.0,3.553,0,2.0,0.6
222,0.4417,1.1278354289576322,1,3.0,2.8932931999999996,2,710.21,2.6014326730663178,0.14080342433927992,2.614,1,1.0,0.5
223,0.5507,5.639971272056441,1,3.0,2.8887558,1,710.11,2.958138467276849,0.0,4.233,0,5.0,0.7
224,0.4509,1.6428747231110017,2,3.5,2.9857464,1,487.56,2.525040484615845,0.0,4.237,0,1.0,0.4
225,0.5563,0.0,1,3.5,2.418003,1,691.48,3.723093202639861,0.0,2.772,0,0.0,0.3
226,0.6266,0.0,1,3.5,1.725094,1,510.63,3.7817976257772843,0.0,4.454,0,0.0,0.4
227,0.7123,0.0,1,3.0,2.5589662000000004,1,396.25,3.9463796572370433,0.0,3.091,0,0.0,0.6
228,0.6893,1.7312555385047657,1,3.5,1.7493588,1,462.67,3.5058813714857764,0.2161367713489096,4.82,1,1.0,0.3
229,0.4843,1.5659211761025964,2,3.5,1.4253316,1,511.52,3.586843841296763,0.0,3.918,0,1.0,0.3
230,0.7023,0.0,1,3.5,2.101022,1,660.45,4.110285150124855,0.15141191611779845,4.257,1,0.0,0.5
231,0.6287,0.0,1,3.5,2.4686102,1,648.52,3.1539334567827497,0.0,4.966,0,0.0,0.4
232,0.4643,1.2049823991334958,2,3.5,2.1753746,1,664.74,2.327426606717804,0.0,3.214,0,1.0,0.4
233,0.6269,0.0,1,3.5,1.93697,1,664.03,2.884095063985379,0.0,4.335,0,0.0,0.3
234,0.5979,0.0,1,3.5,2.1659666,1,506.1,3.428931249642228,0.19758940920766646,2.532,1,0.0,0.4
235,0.6315,1.6603445059386854,1,3.5,1.7429006,1,482.43,3.4599375650364244,0.0,4.106,0,1.0,0.5
236,0.5808,0.0,1,3.5,2.0649678000000002,1,683.13,2.2298235319374333,0.0,5.111,0,0.0,0.3
237,0.5523,0.0,1,4.0,2.65678,1,675.03,2.271542738012516,0.0,3.859,0,0.0,0.2
238,0.5463,2.2813363333428267,1,4.0,1.9303158,1,702.22,2.5438900839636287,0.0,4.061,0,2.0,0.2
239,0.8523,0.0,1,4.0,1.9723675999999999,1,719.39,1.5559143904975647,0.0,2.63,0,0.0,0.15
240,0.4617,0.0,1,4.0,1.8557574,1,700.99,3.3343905566970435,0.0,4.79,0,0.0,0.3
241,0.6863,0.0,1,4.5,2.5238038,1,664.48,2.3742360131640763,0.0,4.968,0,0.0,0.1
242,0.5468,0.0,1,4.5,1.8343345999999998,1,441.46,2.856262652935485,0.0,3.676,0,0.0,0.1
243,0.6479,0.0,1,4.0,3.2842054,1,695.46,2.4326599326599214,0.14378972191067782,5.891,1,0.0,0.2
244,0.8493,0.0,1,4.0,1.8878034000000001,1,481.62,1.9842481225960071,0.0,4.76,0,0.0,0.2
245,0.753,0.0,1,4.0,3.5645736,1,674.94,1.1076923076922995,0.0,4.578,0,0.0,0.2
246,0.8128,0.0,1,4.0,0.7872928,1,685.6,1.9576999528092696,0.14585764294049008,3.209,1,0.0,0.25
247,0.2745,0.0,1,3.7,0.9859975999999999,1,569.35,2.8694747257621405,0.0,3.587,0,0.0,0.4
248,0.5001,0.0,1,4.0,2.8737716,1,707.23,1.4547075954129254,0.2827934335364733,3.458,2,0.0,0.2
249,0.8072,2.319923538100617,1,3.5,1.8283272,1,690.54,3.4587853707638985,0.0,4.738,0,2.0,0.3
250,0.5172,0.0,1,3.7,1.8799242,1,696.76,1.4246707129012703,0.0,4.437,0,0.0,0.4
251,0.9344,0.0,1,4.0,1.975974,1,685.08,1.6876183915963479,0.1459683540608396,4.378,1,0.0,0.15
252,0.450704,0.0,1,2.5,2.015615,1,655.81,4.7147880161566915,0.0,4.657,0,0.0,0.9
253,0.6571520000000001,0.0,1,1.0,1.8350108,1,628.55,5.48546682104567,0.0,6.051,0,0.0,1.0
254,0.7316800000000001,1.2987855301347428,1,2.0,1.600193,1,616.73,7.665473926908499,0.0,4.422,0,1.0,1.0
255,0.585616,1.2316066239217676,1,1.5,1.2939332,1,650.37,7.3982316005296695,0.0,3.281,0,1.0,1.0
256,0.7493600000000001,2.3911875335840946,1,2.0,1.7934392,1,669.96,6.3255033557047,0.14926264254582364,4.517,1,2.0,0.9
257,0.649468,0.0,1,2.0,1.1855647999999999,1,634.8,7.252644497691557,0.0,3.661,0,0.0,1.0
258,0.69088,0.0,1,2.0,1.1338894,1,644.13,6.0350109409190384,0.15524816419045845,4.693,1,0.0,0.8
259,0.8595200000000001,0.0,1,2.0,1.3062714,1,651.57,4.320180913082418,0.15347545160151632,3.594,1,0.0,0.9
260,0.56508,0.0,2,3.5,1.7408229999999998,1,649.84,3.0465789395160026,0.0,3.546,0,0.0,0.5
261,0.8194000000000001,0.0,2,3.5,1.9781398,1,666.34,2.6174643770551653,0.300147072065312,5.281,2,0.0,0.6
262,0.6763960000000001,0.0,1,2.0,1.4208824,1,628.98,5.501802884615385,0.0,3.536,0,0.0,1.0
263,0.65246,0.0,1,2.0,1.9836866,1,648.7,6.5704574259707345,0.0,3.247,0,0.0,1.0
264,0.6230840000000001,0.0,1,3.0,1.7352173999999998,1,653.51,4.708369787109939,0.15301984667411364,6.648,1,0.0,0.7
265,0.8330000000000001,0.0,1,2.5,1.363278,1,593.2,6.481058157683137,0.0,4.371,0,0.0,0.9
266,0.6634080000000001,0.0,1,2.0,1.2847212,1,584.89,5.574569758806621,0.17097231958145975,3.451,1,0.0,1.0
267,0.6459320000000001,8.599429465353824,2,1.0,2.0458872,1,652.02,7.518828986000595,0.0,4.199,0,7.0,1.0
268,0.582692,0.0,1,3.5,2.3752847999999998,1,690.8,3.74674302275357,0.0,5.311,0,0.0,0.4
269,0.6673520000000001,1.240936977133296,1,2.0,1.8557574,1,645.48,5.439416357803138,0.0,3.341,0,1.0,1.0
270,0.502792,0.0,1,3.5,1.5451366,1,621.72,2.888114837319006,0.16084410988869588,4.639,1,0.0,0.6
271,0.43669600000000003,1.6935893098782135,1,2.0,1.6566703999999999,1,472.96,5.515712088219433,0.21143437077131258,3.122,1,1.0,0.9
272,0.529992,0.0,1,3.5,1.992389,1,671.32,3.2359427475964564,0.14896025740332478,3.66,1,0.0,0.5
273,0.7004,0.0,1,2.0,1.1009516,1,474.01,4.558542232960835,0.42193202675049046,3.715,2,0.0,0.9
274,0.30498000000000003,0.0,1,3.0,1.2070855999999999,1,399.05,3.159657339772364,0.0,2.674,0,0.0,0.7
275,0.799,0.0,1,2.5,2.1907115999999998,1,442.22,3.9654273801250848,0.22613178960698296,3.187,1,0.0,0.8
276,0.482596,0.0,1,2.5,1.8170081999999999,1,664.23,5.633062453827354,0.0,4.962,0,0.0,0.8
277,0.542096,0.0,1,2.5,2.237438,1,432.82,4.033169996230682,0.0,4.316,0,0.0,0.9
278,0.58616,0.0,1,3.0,1.5949402,1,501.18,2.0922463810584264,0.0,4.512,0,0.0,0.6
279,0.33911600000000003,1.7015762416620637,1,2.5,1.4263606,1,470.74,5.06594603315452,0.21243149084420274,2.385,1,1.0,1.0
280,0.6358,1.332601317628269,1,1.0,1.4829066,1,601.08,7.449265543682443,0.3327344113928262,5.064,2,1.0,0.9
281,0.5124,2.560127846584099,1,1.0,0.5602758,1,625.75,11.18822560958302,0.6392329204954055,3.485,4,2.0,1.0
