,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
126,3,0.378,0.087,17.6,1,5.0,0,3.294,709.53,0.0,2.0168974175584675,8.8
127,3,0.5467,0.087,15.6,1,5.0,0,4.045,627.23,0.0,3.158906349277947,7.8
128,3,0.5196,0.087,16.7,1,5.0,0,4.241,700.91,0.0,2.44281228566537,8.35
129,3,0.4648,0.087,15.2,1,5.0,0,4.424,722.67,0.0,3.386743914473313,7.6
130,3,0.5921,0.087,15.2,1,5.0,0,3.034,671.0,0.0,1.6429391460074059,7.6
131,3,0.4808,0.087,16.6,1,5.0,0,3.307,690.61,0.0,1.963269602397547,8.3
132,3,0.5506,0.087,16.9,1,5.0,0,3.106,672.77,0.0,2.483716470240599,8.45
133,3,0.2994,0.087,17.6,1,5.0,0,2.897,715.58,0.0,2.1258935924784104,8.8
134,3,0.5456,0.087,18.7,1,5.0,0,3.795,685.08,0.0,2.3084252347150342,9.35
135,3,0.3485,0.087,16.1,1,5.0,0,3.028,679.69,0.0,2.1069962511276015,8.05
136,3,0.3386,0.087,17.4,1,5.0,0,2.698,679.57,0.0,2.5844083155432616,8.7
137,3,0.3717,0.087,16.7,1,5.0,0,3.076,701.95,0.0,3.2089245910689344,8.35
138,3,0.6096,0.087,18.1,1,5.0,0,3.877,704.16,0.0,1.952244920814144,9.05
139,3,0.3172,0.087,16.0,1,5.0,0,3.431,706.12,0.0,2.8304185343757298,8.0
140,6,0.3497,0.12,15.4,1,5.0,0,2.968,579.42,0.0,2.01991725781444,7.7
141,6,0.4117,0.12,16.1,1,5.0,0,2.739,688.0,0.0,1.7700710007015057,8.05
142,6,0.4539,0.12,19.1,1,5.0,0,3.778,685.21,0.0,2.429362118672824,9.55
143,6,0.479,0.12,18.4,1,5.0,0,4.557,637.89,0.0,2.4948234186690534,9.2
144,6,0.4828,0.12,16.8,1,5.0,0,4.345,704.96,0.0,1.5668783638516324,8.4
145,6,0.476,0.12,15.5,1,5.0,0,3.751,658.6,0.0,2.476493626114439,7.75
146,6,0.3272,0.12,19.7,1,5.0,0,3.903,723.26,0.0,2.1648178266929747,9.85
147,6,0.4657,0.12,18.0,1,5.0,0,2.566,652.37,0.0,1.8567608441071792,9.0
148,6,0.4914,0.12,17.6,1,5.0,0,3.548,723.65,0.0,2.276563932669396,8.8
149,6,0.3698,0.12,17.6,1,5.0,0,3.598,711.45,0.0,2.0525642544476432,8.8
150,6,0.5261,0.12,16.2,1,5.0,0,3.595,666.37,0.0,3.0277471165626446,8.1
151,6,0.7291,0.12,18.1,1,5.0,0,4.035,666.61,0.0,1.787911813918682,9.05
152,6,0.2692,0.12,18.7,1,5.0,0,2.558,690.28,0.0,2.311002312962249,9.35
153,6,0.4432,0.12,15.2,1,4.5,0,3.599,703.01,0.0,2.27498607306825,7.6
154,6,0.5195,0.12,16.7,1,5.0,0,3.738,745.35,0.0,2.229554438975497,8.35
155,6,0.5156,0.12,17.9,1,5.0,0,4.493,732.13,0.0,1.9033497601100875,8.95
156,6,0.4226,0.12,17.4,1,5.0,0,4.001,582.62,0.0,2.5677968832689824,8.7
